GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
popix,com.popx.persistenza,DataSourceSingleton,31,7,3,1,9,4,2,2,0,2
popix,com.popx.persistenza,AdminDAOImpl,132,0,6,0,39,0,7,0,4,0
popix,com.popx.persistenza,OrdineDAOImpl,253,269,11,9,76,71,11,10,4,7
popix,com.popx.persistenza,ProdottoDAOImpl,123,846,26,32,35,229,22,28,2,19
popix,com.popx.persistenza,UserDAOImpl,0,115,2,4,0,34,2,4,0,3
popix,com.popx.persistenza,GestoreOrdineDAOImpl,132,0,6,0,39,0,7,0,4,0
popix,com.popx.persistenza,RigaOrdineDAOImpl,24,160,0,2,8,48,0,7,0,6
popix,com.popx.persistenza,CarrelloDAOImpl,36,213,1,9,14,64,1,9,0,5
popix,com.popx.persistenza,ClienteDAOImpl,115,0,6,0,34,0,6,0,3,0
popix,com.popx.presentazione,GetProductsServlet,23,124,6,10,6,35,6,5,1,2
popix,com.popx.presentazione,AddToCartServlet,28,160,4,14,11,44,5,8,1,3
popix,com.popx.presentazione,LoginServlet,8,47,0,0,3,15,1,2,1,2
popix,com.popx.presentazione,CheckoutServlet,23,152,1,9,6,44,2,6,1,2
popix,com.popx.presentazione,UpdateCartServlet,8,58,0,2,3,20,1,3,1,2
popix,com.popx.presentazione,DeleteProductServlet,8,31,0,0,3,14,1,2,1,2
popix,com.popx.presentazione,LogoutServlet,8,59,0,4,3,20,1,5,1,3
popix,com.popx.presentazione,RegistrationServlet,8,77,0,4,3,26,1,4,1,2
popix,com.popx.presentazione,ProductServlet,19,156,9,15,6,40,10,5,1,2
popix,com.popx.presentazione,GetAdminServlet,10,90,2,4,3,30,3,3,1,2
popix,com.popx.presentazione,GetPictureServlet,8,46,1,5,3,16,2,4,1,2
popix,com.popx.presentazione,UpdateProductServlet,9,150,3,11,4,37,4,6,1,2
popix,com.popx.presentazione,RemoveFromCartServlet,8,76,2,6,3,21,3,5,1,3
popix,com.popx.presentazione,GetProductServlet,8,49,1,5,3,18,2,4,1,2
popix,com.popx.presentazione,UpdateStatusServlet,17,81,1,5,7,27,2,5,1,3
popix,com.popx.servizio,SecurityService,0,16,0,0,0,5,0,3,0,3
popix,com.popx.servizio,AuthenticationService,0,66,0,8,0,16,0,10,0,6
popix,com.popx.modello,ClienteBean,0,10,0,0,0,3,0,2,0,2
popix,com.popx.modello,ProdottoBean,0,112,0,0,0,41,0,21,0,21
popix,com.popx.modello,AdminBean,0,10,0,0,0,3,0,2,0,2
popix,com.popx.modello,ProdottoCarrelloBean,0,46,0,0,0,19,0,10,0,10
popix,com.popx.modello,RigaOrdineBean,0,46,0,0,0,19,0,10,0,10
popix,com.popx.modello,OrdineBean,0,56,0,0,0,19,0,12,0,12
popix,com.popx.modello,GestoreOrdineBean,0,10,0,0,0,3,0,2,0,2
popix,com.popx.modello,CarrelloBean,0,26,0,0,0,11,0,6,0,6
popix,com.popx.modello,UserBean,0,46,0,0,0,15,0,10,0,10
